hx_x,hx_y,hx_z,hx_temp,hy_x,hy_y,hy_z,hy_temp
4419,-24495,-2437,26,11531,-23572,2261,33
4429,-24511,-2443,23,11525,-23552,2274,33
4433,-24489,-2445,26,11537,-23580,2277,35
4431,-24497,-2432,27,11525,-23540,2265,31
4430,-24485,-2458,25,11513,-23574,2274,34
4416,-24475,-2455,25,11529,-23566,2278,34
4433,-24493,-2451,24,11533,-23544,2286,33
4432,-24481,-2446,25,11523,-23562,2266,33
4428,-24499,-2446,25,11523,-23550,2296,35
4423,-24479,-2458,24,11525,-23576,2281,35
4437,-24487,-2450,25,11521,-23564,2262,32
4431,-24479,-2458,25,11537,-23564,2261,36
4441,-24495,-2467,24,11523,-23564,2281,33
4417,-24485,-2443,23,11539,-23576,2267,34
4425,-24481,-2449,23,11535,-23560,2285,33
4427,-24485,-2432,25,11539,-23560,2268,34
4431,-24495,-2459,26,11531,-23552,2275,34
4419,-24485,-2437,24,11517,-23540,2293,32
4421,-24489,-2421,23,11523,-23556,2267,34
4423,-24489,-2429,26,11543,-23536,2289,34
4421,-24481,-2445,23,11533,-23548,2282,33
4437,-24485,-2443,24,11523,-23556,2271,33
4441,-24499,-2454,27,11523,-23542,2249,33
4425,-24493,-2453,25,11537,-23562,2268,34
4429,-24479,-2436,24,11529,-23552,2267,34
4419,-24491,-2451,26,11533,-23536,2278,35
4435,-24477,-2433,24,11523,-23558,2256,32
4419,-24503,-2425,26,11539,-23562,2280,33
4424,-24483,-2427,24,11531,-23550,2278,32
4438,-24481,-2441,24,11541,-23536,2281,35
4432,-24493,-2426,25,11525,-23550,2276,33
4418,-24505,-2426,25,11527,-23536,2277,33
4423,-24483,-2458,24,11535,-23550,2266,35
4441,-24493,-2455,25,11523,-23806,2265,32
4413,-24493,-2446,24,11529,-23552,2271,33
4419,-24493,-2436,25,11521,-23566,2269,36
4429,-24473,-2456,23,11517,-23564,2274,33
4431,-24479,-2436,25,11531,-23534,2270,34
4427,-24479,-2440,24,11535,-23566,2289,36
4428,-24491,-2435,23,11531,-23570,2278,33
4427,-24475,-2428,24,11527,-23540,2268,33
4431,-24515,-2436,26,11533,-23562,2260,33
4421,-24515,-2449,26,11517,-23554,2256,32
4412,-24481,-2446,23,11547,-23556,2254,31
4421,-24465,-2440,24,11541,-23560,2290,33
4412,-24487,-2440,24,11523,-23564,2254,33
4422,-24505,-2450,24,11543,-23574,2279,33
4425,-24487,-2447,22,11529,-23562,2281,33
4418,-24485,-2437,24,11529,-23552,2249,32
4408,-24485,-2446,25,11533,-23552,2264,33
4416,-24509,-2448,24,11525,-23564,2275,33
4415,-24489,-2434,26,11521,-23556,2262,35
4424,-24497,-2430,24,11513,-23554,2258,32
4406,-24483,-2450,25,11533,-23578,2265,33
4386,-24489,-2450,23,11531,-23562,2270,35
4406,-24495,-2443,26,11515,-23576,2279,35
4412,-24485,-2432,22,11277,-23572,2274,33
4408,-24475,-2442,23,11531,-23586,2271,36
4405,-24489,-2438,25,11529,-23564,2281,34
4404,-24477,-2430,22,11523,-23568,2265,32
4419,-24503,-2424,26,11533,-23566,2266,32
4405,-24473,-2441,24,11533,-23566,2260,34
4413,-24487,-2414,24,11505,-23568,2274,32
4429,-24485,-2435,24,11527,-23548,2255,33
4397,-24479,-2458,24,11531,-23578,2273,33
4409,-24483,-2424,23,11517,-23574,2296,35
4415,-24473,-2436,25,11537,-23586,2247,34
4413,-24479,-2435,24,11517,-23568,2268,35
4417,-24507,-2420,25,11398,-23615,2072,32
4436,-24454,-2396,22,10777,-23872,1427,32
4548,-24326,-2330,24,10520,-23977,1068,32
4590,-24173,-2309,24,9942,-24224,518,35
4530,-23993,-2415,25,8753,-24745,-850,35
4221,-23983,-2688,23,6040,-25776,-4088,33
3932,-24033,-3072,23,2352,-26717,-7829,35
3212,-24200,-3860,24,-1937,-27641,-11583,34
2086,-24487,-4891,24,-6557,-28385,-16019,33
636,-24816,-6319,25,-10746,-28429,-20600,35
130,-25649,-6531,23,-11804,-28526,-20790,33
1039,-25444,-5442,23,-11816,-28457,-20793,32
2194,-25169,-4105,22,-11874,-28391,-20914,32
2960,-24953,-3310,26,-12079,-28332,-21052,35
3170,-24880,-3053,23,-12125,-28329,-21112,33
3317,-24848,-2885,25,-12131,-28320,-21163,33
3463,-24816,-2781,24,-12141,-28306,-21168,33
3549,-24796,-2664,25,-12163,-28333,-21193,34
3627,-24800,-2552,24,-12141,-28279,-21208,32
3666,-24754,-2509,24,-12151,-28308,-21195,33
3657,-24754,-2501,25,-12170,-28322,-21215,34
3685,-24768,-2518,25,-12153,-28306,-21234,32
3687,-24780,-2518,25,-12159,-28294,-21216,34
3686,-24740,-2495,23,-12180,-28324,-21205,34
3697,-24752,-2475,25,-12168,-28288,-21213,32
3688,-24760,-2511,23,-12163,-28294,-21209,33
3684,-24788,-2491,26,-12155,-28312,-21195,34
3705,-24768,-2491,26,-12169,-28301,-21211,32
3691,-24778,-2490,25,-12159,-28296,-21235,33
3703,-24774,-2508,25,-12168,-28320,-21215,34
3688,-24764,-2515,23,-12147,-28290,-21202,32
3687,-24772,-2507,25,-12174,-28278,-21203,32
3691,-24776,-2501,25,-12151,-28290,-21189,30
3694,-24764,-2511,23,-12172,-28310,-21223,30
3688,-24770,-2484,23,-12161,-28282,-21215,33
3703,-24760,-2501,24,-12166,-28298,-21209,34
3713,-24764,-2468,24,-12176,-28302,-21216,33
3715,-24766,-2461,25,-12153,-28289,-21229,32
3750,-24742,-2450,23,-12153,-28288,-21202,34
3748,-24750,-2439,25,-12170,-28290,-21199,33
3759,-24750,-2456,24,-12159,-28296,-21195,32
3767,-24750,-2430,25,-12149,-28117,-21235,34
3751,-24750,-2427,24,-12159,-28074,-21200,31
3752,-24732,-2418,23,-12149,-28107,-21237,35
3751,-24750,-2415,24,-12155,-28284,-21211,33
3743,-24736,-2434,23,-12159,-28281,-21217,32
